direction,profile,program_code,vuz,faculty,exams,scores,forms
Управление персоналом,Управление персоналом организации,38.03.03,ОГУЭТ,Факультет экономики,"[['РЯ'], ['M'], ['О'], ['new', 'очно']]",[],"[{'education_form2': 'Очная', 'score': 'NEW', 'free_places': '17', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -41775}]"
Государственное и муниципальное управление,Эффективное государственное и муниципальное управление,38.03.04,ОГУЭТ,Факультет информационных технологий и управления,"[['РЯ'], ['M'], ['О'], ['new', 'очно']]",[],"[{'education_form2': 'Очная', 'score': 'NEW', 'free_places': '20', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -41775}]"
Бизнес-информатика,Информационные системы в бизнесе,38.03.05,ОГУЭТ,Факультет бизнеса и рекламы,"[['РЯ'], ['M'], ['О'], ['new', 'очно']]",[],"[{'education_form2': 'Очная', 'score': 'NEW', 'free_places': '20', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}]"
Торговое дело,Управление торговым предприятием,38.03.06,ОГУЭТ,Факультет бизнеса и рекламы,"[['РЯ'], ['M'], ['О'], ['new', 'очно']]",[],"[{'education_form2': 'Очная', 'score': 'NEW', 'free_places': '17', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}]"
Социология,Без профиля,39.03.01,ОГУЭТ,Факультет бизнеса и рекламы,"[['РЯ'], ['M'], ['О'], ['new', 'очно']]",[],"[{'education_form2': 'Очная', 'score': 'NEW', 'free_places': '17', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}]"
Социальная работа,"Социальная работа с различными группами
населения",39.03.02,ОГУЭТ,Факультет бизнеса и рекламы,"[['РЯ'], ['О'], ['И'], ['new', 'очно'], ['new', 'заоч.']]",[],"[{'education_form2': 'Очная', 'score': 'NEW', 'free_places': '8', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}, {'education_form2': 'Заочная', 'score': 'NEW', 'free_places': '10', 'average_score': 'no data', 'olympic': 'no data', 'price': -28210}]"
Организация работы с молодежью,Современные социально-гуманитарные технологии работы с молодежью,39.03.03,ОГУЭТ,Факультет бизнеса и рекламы,"[['РЯ'], ['О'], ['И'], ['new', 'очно']]",[],"[{'education_form2': 'Очная', 'score': 'NEW', 'free_places': '21', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}]"
Юриспруденция,Гражданско-правовой профиль,40.03.01,ОГУЭТ,Факультет бизнеса и рекламы,"[['РЯ'], ['О'], ['И'], ['new', 'очно']]",[],"[{'education_form2': 'Очная', 'score': 'NEW', 'free_places': '10', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -41775}]"
Реклама и связи с общественностью,Реклама и связи с общественностью в социальных и бизнес-процессах,42.03.01,ОГУЭТ,Факультет бизнеса и рекламы,"[['РЯ'], ['О'], ['ИЯ', 'И'], ['new', 'очно'], ['new', 'вечер.']]",[],"[{'education_form2': 'Очная', 'score': 'NEW', 'free_places': '4', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -35265}, {'education_form2': 'Очно-заочная', 'score': 'NEW', 'free_places': '4', 'average_score': 'no data', 'olympic': 'no data', 'price': -36000}]"
Сервис,Сервис в индустрии питани,43.03.01,ОГУЭТ,Факультет экономики,"[['РЯ'], ['M'], ['И', 'О'], ['new', 'заоч.']]",[],"[{'education_form2': 'Заочная', 'score': 'NEW', 'free_places': '25', 'average_score': 'no data', 'olympic': 'no data', 'price': -35265}]"
Туризм,Технология и организация туристских услуг,43.03.02,ОГУЭТ,Факультет экономики,"[['РЯ'], ['И'], ['Г', 'О']]","[['150', 'заоч.']]","[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -98200}, {'education_form2': 'Заочная', 'score': '150', 'free_places': '25', 'average_score': 'no data', 'olympic': 'no data', 'price': -35265}]"
Экономическая безопасность,Экономико-правовое обеспечение экономической безопасности субъектов хозяйственной деятельности,38.05.01,ОГУЭТ,Факультет экономики,"[['РЯ'], ['M'], ['О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -35265}]"
Таможенное дело,Таможенные платежи,38.05.02,ОГУЭТ,Факультет экономики,"[['РЯ'], ['О'], ['ДЭ']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -35265}]"
Правовое обеспечение национальной безопасности,Уголовно-правовая специализация; Государственно-правовая специализация,40.05.01,ОГУЭТ,Факультет экономики,"[['РЯ'], ['О'], ['И']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -113385}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -35265}]"
Экология и природопользование,Экология,05.03.06,ОмГАУ им. П.А.Столыпина,"Факультет агрохимии, почвоведения, экологии, природообустройства и водопользования","[['РЯ'], ['Г'], ['Б', 'ИКТ']]","[['168', 'очно']]","[{'education_form2': 'Очная', 'score': '168', 'free_places': '25', 'average_score': '197', 'olympic': 'no data', 'price': -151759}]"
Информационные системы и технологии,"Информационные
системы и технологии в
бизнесе",09.03.02,ОмГАУ им. П.А.Столыпина,Экономический факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['151', 'очно'], ['198', 'заоч.']]","[{'education_form2': 'Очная', 'score': '151', 'free_places': '25', 'average_score': '206', 'olympic': 'no data', 'price': -143266}, {'education_form2': 'Заочная', 'score': '198', 'free_places': '25', 'average_score': '206', 'olympic': 'no data', 'price': -26660}]"
Биотехнология,Пищевая биотехнология,19.03.01,ОмГАУ им. П.А.Столыпина,Агротехнологический факультет,"[['РЯ'], ['M'], ['Б', 'Х']]","[['107', 'очно']]","[{'education_form2': 'Очная', 'score': '107', 'free_places': '15', 'average_score': '180', 'olympic': 'no data', 'price': -151759}]"
Продукты питания из растительного сырья,"Технология хлеба, кондитерских и макаронных изделий",19.03.02,ОмГАУ им. П.А.Столыпина,Агротехнологический факультет,"[['РЯ'], ['M'], ['Б', 'ИКТ']]","[['130', 'очно'], ['213', 'заоч.']]","[{'education_form2': 'Очная', 'score': '130', 'free_places': '15', 'average_score': '201', 'olympic': 'no data', 'price': -151759}, {'education_form2': 'Заочная', 'score': '213', 'free_places': '15', 'average_score': '201', 'olympic': 'no data', 'price': -26660}]"
Продукты питания животного происхождения,"Технология молока и молочных продуктов; Технология мяса и
мясных продуктов",19.03.03,ОмГАУ им. П.А.Столыпина,Агротехнологический факультет,"[['РЯ'], ['M'], ['Б', 'Х']]","[['114', 'очно'], ['164', 'заоч.']]","[{'education_form2': 'Очная', 'score': '114', 'free_places': '20', 'average_score': '168', 'olympic': 'no data', 'price': -151759}, {'education_form2': 'Заочная', 'score': '164', 'free_places': '19', 'average_score': '168', 'olympic': 'no data', 'price': -26660}]"
Техносферная безопасность,"Техносферная безопасность; Безопасность жизнедеятельности
в техносфере",20.03.01,ОмГАУ им. П.А.Столыпина,"Факультет агрохимии, почвоведения, экологии, природообустройства и водопользования","[['РЯ'], ['M'], ['Ф', 'Х']]","[['139', 'очно'], ['174', 'вечер.']]","[{'education_form2': 'Очная', 'score': '139', 'free_places': '30', 'average_score': '171', 'olympic': 'no data', 'price': -151759}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '171', 'olympic': 'no data', 'price': -26660}, {'education_form2': 'Очно-заочная', 'score': '174', 'free_places': '28', 'average_score': '171', 'olympic': 'no data', 'price': -36790}]"
Природообустройство и водопользование,"Управление водными
ресурсами и
водопользование",20.03.02,ОмГАУ им. П.А.Столыпина,"Факультет агрохимии, почвоведения, экологии, природообустройства и водопользования","[['РЯ'], ['M'], ['ИКТ', 'Х']]","[['113', 'очно'], ['188', 'заоч.']]","[{'education_form2': 'Очная', 'score': '113', 'free_places': '25', 'average_score': '152', 'olympic': 'no data', 'price': -151759}, {'education_form2': 'Заочная', 'score': '188', 'free_places': '25', 'average_score': '152', 'olympic': 'no data', 'price': -26660}]"
Землеустройство и кадастры,Кадастр недвижимости,21.03.02,ОмГАУ им. П.А.Столыпина,Землеустроительный факультет,"[['РЯ'], ['M'], ['Г', 'Ф']]","[['141', 'очно'], ['218', 'заоч.']]","[{'education_form2': 'Очная', 'score': '141', 'free_places': '80', 'average_score': '177', 'olympic': 'no data', 'price': -181964}, {'education_form2': 'Заочная', 'score': '218', 'free_places': '25', 'average_score': '177', 'olympic': 'no data', 'price': -32866}]"
Геодезия и дистанционное зондирование,"Геодезия и
дистанционное
зондирование",21.03.03,ОмГАУ им. П.А.Столыпина,Землеустроительный факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['207', 'очно'], ['207', 'заоч.']]","[{'education_form2': 'Очная', 'score': '207', 'free_places': '20', 'average_score': '225', 'olympic': '5%', 'price': -181964}, {'education_form2': 'Заочная', 'score': '207', 'free_places': '50', 'average_score': '225', 'olympic': '2%', 'price': -32866}]"
Эксплуатация транспортно-технологических машин и комплексов,Автомобильный сервис,23.03.03,ОмГАУ им. П.А.Столыпина,Факультет технического сервиса в АПК,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['131', 'очно']]","[{'education_form2': 'Очная', 'score': '131', 'free_places': '25', 'average_score': '159', 'olympic': 'no data', 'price': -151759}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '159', 'olympic': 'no data', 'price': -26660}]"
Лесное дело,Лесное хозяйство,35.03.01,ОмГАУ им. П.А.Столыпина,Агротехнологический факультет,"[['РЯ'], ['Б'], ['ИКТ', 'Х']]","[['107', 'очно']]","[{'education_form2': 'Очная', 'score': '107', 'free_places': '21', 'average_score': '168', 'olympic': 'no data', 'price': -151759}]"
Агрохимия и агропочвоведение,Агроэкология,35.03.03,ОмГАУ им. П.А.Столыпина,"Факультет агрохимии, почвоведения, экологии, природообустройства и водопользования","[['РЯ'], ['Б'], ['Г', 'ИКТ']]","[['140', 'очно']]","[{'education_form2': 'Очная', 'score': '140', 'free_places': '25', 'average_score': '177', 'olympic': 'no data', 'price': -151759}]"
Агрономия,"Агробизнес; Селекция и генетика
сельскохозяйственных
культур",35.03.04,ОмГАУ им. П.А.Столыпина,Агротехнологический факультет,"[['РЯ'], ['Б'], ['M', 'Ф']]","[['148', 'очно'], ['217', 'заоч.']]","[{'education_form2': 'Очная', 'score': '148', 'free_places': '50', 'average_score': '198', 'olympic': '2%', 'price': -151759}, {'education_form2': 'Заочная', 'score': '217', 'free_places': '18', 'average_score': '198', 'olympic': '6%', 'price': -26660}]"
Садоводство,Плодоовощеводство и виноградарство,35.03.05,ОмГАУ им. П.А.Столыпина,Агротехнологический факультет,"[['РЯ'], ['Б'], ['Г', 'ИКТ']]","[['105', 'очно'], ['178', 'заоч.']]","[{'education_form2': 'Очная', 'score': '105', 'free_places': '21', 'average_score': '153', 'olympic': 'no data', 'price': -151759}, {'education_form2': 'Заочная', 'score': '178', 'free_places': '10', 'average_score': '153', 'olympic': 'no data', 'price': -26660}]"
Агроинженерия,Цифровые системы в АПК; Технический сервис в АПК,35.03.06,ОмГАУ им. П.А.Столыпина,Факультет технического сервиса в АПК,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['116', 'очно'], ['215', 'заоч.']]","[{'education_form2': 'Очная', 'score': '116', 'free_places': '75', 'average_score': '157', 'olympic': 'no data', 'price': -151759}, {'education_form2': 'Заочная', 'score': '215', 'free_places': '15', 'average_score': '157', 'olympic': 'no data', 'price': -26660}]"
Ветеринарно-санитарная экспертиза,Ветеринарно-санитарная экспертиза сырья и продуктов животного и растительного происхождения,36.03.01,ОмГАУ им. П.А.Столыпина,Факультет ветеринарной медицины,"[['РЯ'], ['Б'], ['M', 'Ф']]","[['120', 'очно']]","[{'education_form2': 'Очная', 'score': '120', 'free_places': '20', 'average_score': '161', 'olympic': 'no data', 'price': -151759}]"
Зоотехния,"IТ- технологии в
животноводстве",36.03.02,ОмГАУ им. П.А.Столыпина,"Факультет зоотехнии, товароведения и стандартизации","[['РЯ'], ['Б'], ['M', 'Х']]","[['123', 'очно'], ['181', 'заоч.']]","[{'education_form2': 'Очная', 'score': '123', 'free_places': '25', 'average_score': '187', 'olympic': 'no data', 'price': -151759}, {'education_form2': 'Заочная', 'score': '181', 'free_places': '25', 'average_score': '187', 'olympic': 'no data', 'price': -26660}]"
Экономика,"Учет, контроль и
финансовый анализ в
бизнесе; Прикладная экономика
и финансы",38.03.01,ОмГАУ им. П.А.Столыпина,Экономический факультет,"[['РЯ'], ['M'], ['ИКТ', 'И']]","[['232', 'очно']]","[{'education_form2': 'Очная', 'score': '232', 'free_places': '11', 'average_score': '245', 'olympic': 'no data', 'price': -123703}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '245', 'olympic': 'no data', 'price': -40130}]"
Менеджмент,"Экономика и
управление
организацией; Производственный
менеджмент; Государственное и
муниципальное
управление",38.03.02,ОмГАУ им. П.А.Столыпина,Экономический факультет,"[['РЯ'], ['M'], ['Г', 'О']]","[['231', 'очно']]","[{'education_form2': 'Очная', 'score': '231', 'free_places': '10', 'average_score': '243', 'olympic': 'no data', 'price': -123703}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '243', 'olympic': 'no data', 'price': -40130}]"
Юриспруденция,Гражданское право,40.03.01,ОмГАУ им. П.А.Столыпина,Экономический факультет,"[['РЯ'], ['О'], ['ИКТ', 'И']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -123703}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -40130}]"
Прикладная геодезия,Инженерная геодезия,21.05.01,ОмГАУ им. П.А.Столыпина,Землеустроительный факультет,"[['РЯ'], ['M'], ['ИКТ', 'Х']]","[['149', 'очно']]","[{'education_form2': 'Очная', 'score': '149', 'free_places': '25', 'average_score': '195', 'olympic': 'no data', 'price': -181964}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '195', 'olympic': 'no data', 'price': -32866}]"
Ветеринария,Ветеринарная медицина,36.05.01,ОмГАУ им. П.А.Столыпина,Факультет ветеринарной медицины,"[['РЯ'], ['Б'], ['M', 'Х']]","[['135', 'очно'], ['174', 'заоч.']]","[{'education_form2': 'Очная', 'score': '135', 'free_places': '120', 'average_score': '186', 'olympic': 'no data', 'price': -151759}, {'education_form2': 'Заочная', 'score': '174', 'free_places': '25', 'average_score': '186', 'olympic': 'no data', 'price': -28199}]"
Лечебное дело,Без профиля,31.05.01,ОмГМУ,Лечебный факультет,"[['РЯ'], ['Б'], ['Х']]","[['234', 'очно']]","[{'education_form2': 'Очная', 'score': '234', 'free_places': '175', 'average_score': '256', 'olympic': '2%', 'price': -219600}]"
Педиатрия,Без профиля,31.05.02,ОмГМУ,Педиатрический факультет,"[['РЯ'], ['Б'], ['Х']]","[['210', 'очно']]","[{'education_form2': 'Очная', 'score': '210', 'free_places': '120', 'average_score': '233', 'olympic': '2%', 'price': -216000}]"
Стоматология,Без профиля,31.05.03,ОмГМУ,Стоматологический факультет,"[['РЯ'], ['Б'], ['Х']]","[['289', 'очно']]","[{'education_form2': 'Очная', 'score': '289', 'free_places': '10', 'average_score': '296', 'olympic': '10%', 'price': -236400}]"
Медико-профилактическое дело,Без профиля,32.05.01,ОмГМУ,Медико-профилактический факультет,"[['РЯ'], ['Б'], ['Х']]","[['155', 'очно']]","[{'education_form2': 'Очная', 'score': '155', 'free_places': '65', 'average_score': '180', 'olympic': 'no data', 'price': -160200}]"
Фармация,Без профиля,33.05.01,ОмГМУ,Фармацевтический факультет,"[['РЯ'], ['Б'], ['Х']]","[['203', 'очно']]","[{'education_form2': 'Очная', 'score': '203', 'free_places': '12', 'average_score': '221', 'olympic': 'no data', 'price': -160200}]"
Биология,Биоэкология,06.03.01,ОмГПУ,Факультет естественнонаучного образования,"[['РЯ'], ['Б'], ['M', 'Х']]","[['124', 'очно']]","[{'education_form2': 'Очная', 'score': '124', 'free_places': '17', 'average_score': '185', 'olympic': 'no data', 'price': -151800}]"
Прикладная информатика,Информационные ресурсы и сервисы,09.03.03,ОмГПУ,"Факультет математики, информатики, физики и технологии","[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['128', 'очно']]","[{'education_form2': 'Очная', 'score': '128', 'free_places': '14', 'average_score': '165', 'olympic': 'no data', 'price': -151800}]"
Конфликтология,Организационная конфликтология,37.03.02,ОмГПУ,"Факультет истории, философии и права","[['РЯ'], ['О'], ['ИЯ', 'И']]","[['175', 'очно']]","[{'education_form2': 'Очная', 'score': '175', 'free_places': '20', 'average_score': '200', 'olympic': 'no data', 'price': -133600}]"
Экономика,Экономика предприятий и организаций,38.03.01,ОмГПУ,"Факультет экономики, менеджмента, сервиса и туризма","[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -43800}]"
Менеджмент,Менеджмент организации,38.03.02,ОмГПУ,"Факультет экономики, менеджмента, сервиса и туризма","[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -43800}]"
Управление персоналом,Управление персоналом организации,38.03.03,ОмГПУ,"Факультет экономики, менеджмента, сервиса и туризма","[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -43800}]"
Государственное и муниципальное управление,Государственная и муниципальная служба,38.03.04,ОмГПУ,"Факультет истории, философии и права","[['РЯ'], ['О'], ['И', 'M']]",[],"[{'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -43800}]"
Социальная работа,Медико-социальная и социально-психологическая работа с населением,39.03.02,ОмГПУ,Факультет психологии и педагогики,"[['РЯ'], ['И'], ['Л', 'О']]","[['131', 'очно'], ['144', 'заоч.']]","[{'education_form2': 'Очная', 'score': '131', 'free_places': '20', 'average_score': '162', 'olympic': 'no data', 'price': -133600}, {'education_form2': 'Заочная', 'score': '144', 'free_places': '20', 'average_score': '162', 'olympic': 'no data', 'price': -39000}]"
Туризм,Технология и организация туроператорских и турагентских услуг,43.03.02,ОмГПУ,"Факультет экономики, менеджмента, сервиса и туризма","[['РЯ'], ['И'], ['Г', 'О']]",[],"[{'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -40400}]"
Педагогическое образование,Математическое образование,44.03.01,ОмГПУ,"Факультет математики, информатики, физики и технологии","[['РЯ'], ['О'], ['ИКТ', 'M']]","[['144', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '144', 'free_places': '18', 'average_score': 'no data', 'olympic': 'no data', 'price': -40400}]"
Педагогическое образование,Образование в области иностранного языка (английский язык),44.03.01,ОмГПУ,Факультет иностранных языков,"[['РЯ'], ['О'], ['ИЯ']]","[['135', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '135', 'free_places': '15', 'average_score': 'no data', 'olympic': 'no data', 'price': -41800}]"
Педагогическое образование,Историческое образование,44.03.01,ОмГПУ,"Факультет истории, философии и права","[['РЯ'], ['О'], ['ИЯ', 'И']]","[['156', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '156', 'free_places': '18', 'average_score': 'no data', 'olympic': 'no data', 'price': -40400}]"
Педагогическое образование,Начальное образование,44.03.01,ОмГПУ,"Факультет начального, дошкольного и специального образования","[['РЯ'], ['О'], ['Б', 'M']]","[['203', 'очно']]","[{'education_form2': 'Очная', 'score': '203', 'free_places': '30', 'average_score': '220', 'olympic': 'no data', 'price': -133600}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '220', 'olympic': 'no data', 'price': -40400}]"
Педагогическое образование,Дошкольное образование,44.03.01,ОмГПУ,"Факультет начального, дошкольного и специального образования","[['РЯ'], ['О'], ['Б', 'M']]","[['152', 'очно'], ['162', 'заоч.']]","[{'education_form2': 'Очная', 'score': '152', 'free_places': '25', 'average_score': '175', 'olympic': 'no data', 'price': -133600}, {'education_form2': 'Заочная', 'score': '162', 'free_places': '18', 'average_score': '175', 'olympic': 'no data', 'price': -40400}]"
Педагогическое образование,Физкультурное образование,44.03.01,ОмГПУ,"Факультет начального, дошкольного и специального образования","[['РЯ'], ['О'], ['Б', 'M']]",[],"[{'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -40400}]"
Педагогическое образование,Музыкальное образование,44.03.01,ОмГПУ,Факультет искусств,"[['РЯ'], ['О'], ['ДЭ']]","[['117', 'очно']]","[{'education_form2': 'Очная', 'score': '117', 'free_places': '15', 'average_score': '143', 'olympic': 'no data', 'price': -133600}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '143', 'olympic': 'no data', 'price': -44700}]"
Педагогическое образование,Образование в области изобразительного и декоративно-прикладного искусства,44.03.01,ОмГПУ,Факультет искусств,"[['РЯ'], ['О'], ['ДЭ']]","[['117', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '117', 'free_places': '15', 'average_score': 'no data', 'olympic': 'no data', 'price': -47100}]"
Педагогическое образование,Филологическое образование,44.03.01,ОмГПУ,Филологический факультет,"[['РЯ'], ['О'], ['ИЯ', 'Л']]","[['181', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '181', 'free_places': '18', 'average_score': 'no data', 'olympic': 'no data', 'price': -40400}]"
Педагогическое образование,Географическое образование,44.03.01,ОмГПУ,Факультет естественнонаучного образования,"[['РЯ'], ['О'], ['Б', 'Х']]","[['150', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '150', 'free_places': '18', 'average_score': 'no data', 'olympic': 'no data', 'price': -40400}]"
Психолого-педагогическое образование,Психология образования,44.03.02,ОмГПУ,Факультет психологии и педагогики,"[['РЯ'], ['Б'], ['ИЯ', 'О']]","[['182', 'очно'], ['205', 'заоч.']]","[{'education_form2': 'Очная', 'score': '182', 'free_places': '27', 'average_score': '207', 'olympic': 'no data', 'price': -133600}, {'education_form2': 'Заочная', 'score': '205', 'free_places': '15', 'average_score': '207', 'olympic': 'no data', 'price': -41600}]"
Психолого-педагогическое образование,Психология и безопасность образовательной среды,44.03.02,ОмГПУ,Факультет психологии и педагогики,"[['РЯ'], ['Б'], ['M', 'О']]","[['163', 'очно']]","[{'education_form2': 'Очная', 'score': '163', 'free_places': '26', 'average_score': '175', 'olympic': 'no data', 'price': -133600}]"
Психолого-педагогическое образование,Психология и социальная педагогика,44.03.02,ОмГПУ,Факультет психологии и педагогики,"[['РЯ'], ['Б'], ['ИЯ', 'О']]","[['184', 'очно'], ['218', 'заоч.']]","[{'education_form2': 'Очная', 'score': '184', 'free_places': '26', 'average_score': '211', 'olympic': 'no data', 'price': -133600}, {'education_form2': 'Заочная', 'score': '218', 'free_places': '15', 'average_score': '211', 'olympic': 'no data', 'price': -41600}]"
Специальное (дефектологическое) образование,Логопедия,44.03.03,ОмГПУ,"Факультет начального, дошкольного и специального образования","[['РЯ'], ['Б'], ['ДЭ'], ['M', 'О']]","[['129', 'очно']]","[{'education_form2': 'Очная', 'score': '129', 'free_places': '30', 'average_score': '147', 'olympic': 'no data', 'price': -133600}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '147', 'olympic': 'no data', 'price': -40400}]"
Специальное (дефектологическое) образование,Дошкольная дефектология,44.03.03,ОмГПУ,"Факультет начального, дошкольного и специального образования","[['РЯ'], ['Б'], ['M', 'О']]","[['141', 'очно']]","[{'education_form2': 'Очная', 'score': '141', 'free_places': '23', 'average_score': '165', 'olympic': 'no data', 'price': -133600}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '165', 'olympic': 'no data', 'price': -40400}]"
Специальное (дефектологическое) образование,Олигофренопедагогика,44.03.03,ОмГПУ,"Факультет начального, дошкольного и специального образования","[['РЯ'], ['Б'], ['ИЯ', 'О']]","[['181', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '181', 'free_places': '17', 'average_score': 'no data', 'olympic': 'no data', 'price': -40400}]"
Профессиональное обучение (по отраслям),Экономика и управление,44.05.04,ОмГПУ,"Факультет экономики, менеджмента, сервиса и туризма","[['РЯ'], ['M'], ['И', 'О']]","[['147', 'очно'], ['172', 'заоч.']]","[{'education_form2': 'Очная', 'score': '147', 'free_places': '30', 'average_score': '185', 'olympic': 'no data', 'price': -133600}, {'education_form2': 'Заочная', 'score': '172', 'free_places': '18', 'average_score': '185', 'olympic': 'no data', 'price': -40400}]"
Педагогическое образование (с двумя профилями подготовки),Биология и Химия,44.03.05,ОмГПУ,Факультет естественнонаучного образования,"[['РЯ'], ['О'], ['Б', 'Х']]","[['146', 'очно']]","[{'education_form2': 'Очная', 'score': '146', 'free_places': '28', 'average_score': '165', 'olympic': 'no data', 'price': -133600}]"
Педагогическое образование (с двумя профилями подготовки),География и Безопасность жизнедеятельности,44.03.05,ОмГПУ,Факультет естественнонаучного образования,"[['РЯ'], ['О'], ['Б', 'Г']]","[['151', 'очно']]","[{'education_form2': 'Очная', 'score': '151', 'free_places': '25', 'average_score': '175', 'olympic': 'no data', 'price': -133600}]"
Педагогическое образование (с двумя профилями подготовки),Физика и Математика,44.03.05,ОмГПУ,"Факультет математики, информатики, физики и технологии","[['РЯ'], ['M'], ['О', 'Ф']]","[['138', 'очно']]","[{'education_form2': 'Очная', 'score': '138', 'free_places': '26', 'average_score': '195', 'olympic': 'no data', 'price': -133600}]"
Педагогическое образование (с двумя профилями подготовки),Математика и Информатика,44.03.05,ОмГПУ,"Факультет математики, информатики, физики и технологии","[['РЯ'], ['О'], ['ИКТ', 'M']]","[['144', 'очно']]","[{'education_form2': 'Очная', 'score': '144', 'free_places': '28', 'average_score': '185', 'olympic': 'no data', 'price': -133600}]"
Педагогическое образование (с двумя профилями подготовки),Робототехника и Физика,44.03.05,ОмГПУ,"Факультет математики, информатики, физики и технологии","[['РЯ'], ['О'], ['M', 'Ф']]","[['130', 'очно']]","[{'education_form2': 'Очная', 'score': '130', 'free_places': '18', 'average_score': '170', 'olympic': 'no data', 'price': -133600}]"
