direction,profile,program_code,vuz,faculty,exams,scores,forms
Агроинженерия,Без профиля,35.03.06,МГУ имени Н.П. Огарева,Институт механики и энергетики,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['152', 'очно'], ['167', 'заоч.']]","[{'education_form2': 'Очная', 'score': '152', 'free_places': '50', 'average_score': '175', 'olympic': 'no data', 'price': -127500}, {'education_form2': 'Заочная', 'score': '167', 'free_places': '25', 'average_score': '175', 'olympic': 'no data', 'price': -76500}]"
Ландшафтная архитектура,Без профиля,35.03.10,МГУ имени Н.П. Огарева,Аграрный институт,"[['РЯ'], ['M'], ['Б', 'Х']]","[['122', 'очно']]","[{'education_form2': 'Очная', 'score': '122', 'free_places': '25', 'average_score': '161', 'olympic': 'no data', 'price': -127500}]"
Зоотехния,Без профиля,36.03.02,МГУ имени Н.П. Огарева,Аграрный институт,"[['РЯ'], ['Б'], ['M', 'Х']]","[['140', 'очно']]","[{'education_form2': 'Очная', 'score': '140', 'free_places': '25', 'average_score': '169', 'olympic': 'no data', 'price': -127500}]"
Психология,Без профиля,37.03.01,МГУ имени Н.П. Огарева,Историко-социологический институт,"[['РЯ'], ['Б'], ['M', 'О']]","[['202', 'очно']]","[{'education_form2': 'Очная', 'score': '202', 'free_places': '25', 'average_score': '227', 'olympic': 'no data', 'price': -111300}]"
Экономика,Экономика и финансы,38.03.01,МГУ имени Н.П. Огарева,Экономический институт,"[['РЯ'], ['M'], ['И', 'О']]","[['252', 'очно']]","[{'education_form2': 'Очная', 'score': '252', 'free_places': '16', 'average_score': '260', 'olympic': '6%', 'price': -111300}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '260', 'olympic': '0%', 'price': -66800}]"
Менеджмент,Без профиля,38.03.02,МГУ имени Н.П. Огарева,Экономический институт,"[['РЯ'], ['M'], ['И', 'О']]","[['232', 'очно']]","[{'education_form2': 'Очная', 'score': '232', 'free_places': '16', 'average_score': '244', 'olympic': 'no data', 'price': -111300}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '244', 'olympic': 'no data', 'price': -66800}]"
Социология,Без профиля,39.03.01,МГУ имени Н.П. Огарева,Историко-социологический институт,"[['РЯ'], ['О'], ['ИЯ', 'M']]","[['162', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '162', 'free_places': '25', 'average_score': 'no data', 'olympic': 'no data', 'price': -66800}]"
Социальная работа,Без профиля,39.03.02,МГУ имени Н.П. Огарева,Историко-социологический институт,"[['РЯ'], ['И'], ['ИЯ', 'О']]","[['159', 'очно']]","[{'education_form2': 'Очная', 'score': '159', 'free_places': '24', 'average_score': '190', 'olympic': 'no data', 'price': -111300}]"
Юриспруденция,Без профиля,40.03.01,МГУ имени Н.П. Огарева,Юридический институт,"[['РЯ'], ['О'], ['ИЯ', 'И']]","[['268', 'очно']]","[{'education_form2': 'Очная', 'score': '268', 'free_places': '9', 'average_score': '277', 'olympic': 'no data', 'price': -111300}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '277', 'olympic': 'no data', 'price': -66800}]"
Политология,Без профиля,41.03.04,МГУ имени Н.П. Огарева,Историко-социологический институт,"[['РЯ'], ['И'], ['ИЯ', 'О']]","[['193', 'очно']]","[{'education_form2': 'Очная', 'score': '193', 'free_places': '45', 'average_score': '221', 'olympic': 'no data', 'price': -111300}]"
Реклама и связи с общественностью,Без профиля,42.03.01,МГУ имени Н.П. Огарева,Институт национальной культуры,"[['РЯ'], ['О'], ['ИЯ', 'И']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -111300}]"
Журналистика,Без профиля,42.03.02,МГУ имени Н.П. Огарева,Филологический факультет,"[['РЯ'], ['Л'], ['ДЭ']]","[['148', 'очно']]","[{'education_form2': 'Очная', 'score': '148', 'free_places': '15', 'average_score': '154', 'olympic': 'no data', 'price': -111300}]"
Сервис,Без профиля,43.03.01,МГУ имени Н.П. Огарева,Институт электроники и светотехники,"[['РЯ'], ['M'], ['ИКТ', 'О']]","[['187', 'очно']]","[{'education_form2': 'Очная', 'score': '187', 'free_places': '25', 'average_score': '207', 'olympic': 'no data', 'price': -111300}]"
Туризм,Без профиля,43.03.02,МГУ имени Н.П. Огарева,Институт геоинформационных технологий и географии,"[['РЯ'], ['И'], ['Г', 'О']]","[['171', 'очно'], ['186', 'заоч.']]","[{'education_form2': 'Очная', 'score': '171', 'free_places': '25', 'average_score': '208', 'olympic': 'no data', 'price': -111300}, {'education_form2': 'Заочная', 'score': '186', 'free_places': '25', 'average_score': '208', 'olympic': 'no data', 'price': -66800}]"
Педагогическое образование,"Художественное образование (в области
хореографического искусства)",44.03.01,МГУ имени Н.П. Огарева,Институт национальной культуры,"[['РЯ'], ['О'], ['ДЭ']]",[],"[{'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -66800}]"
Педагогическое образование,Иностранный язык (английский язык),44.03.01,МГУ имени Н.П. Огарева,Факультет иностранных языков,"[['РЯ'], ['О'], ['ИЯ', 'И']]","[['207', 'очно']]","[{'education_form2': 'Очная', 'score': '207', 'free_places': '25', 'average_score': '255', 'olympic': 'no data', 'price': -111300}]"
Педагогическое образование,Филологическое образование,44.03.01,МГУ имени Н.П. Огарева,Филологический факультет,"[['РЯ'], ['О'], ['ДЭ']]","[['115', 'очно']]","[{'education_form2': 'Очная', 'score': '115', 'free_places': '25', 'average_score': '145', 'olympic': 'no data', 'price': -111300}]"
Педагогическое образование (с двумя профилями подготовки),История и обществознание,44.03.05,МГУ имени Н.П. Огарева,Историко-социологический институт,"[['РЯ'], ['И'], ['ИЯ', 'О']]","[['166', 'очно']]","[{'education_form2': 'Очная', 'score': '166', 'free_places': '25', 'average_score': '208', 'olympic': 'no data', 'price': -111300}]"
Филология,Русский язык и литература,45.03.01,МГУ имени Н.П. Огарева,Филологический факультет,"[['РЯ'], ['Л'], ['И', 'О']]","[['213', 'очно']]","[{'education_form2': 'Очная', 'score': '213', 'free_places': '20', 'average_score': '246', 'olympic': 'no data', 'price': -111300}]"
Филология,Преподавание русского языка как иностранного,45.03.01,МГУ имени Н.П. Огарева,Филологический факультет,"[['РЯ'], ['Л'], ['И', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -111300}]"
Лингвистика,"Теория и методика
преподавания иностранных языков
и культур (английский, немецкий,
французский языки)",45.03.02,МГУ имени Н.П. Огарева,Факультет иностранных языков,"[['РЯ'], ['ИЯ'], ['И', 'О']]","[['240', 'очно']]","[{'education_form2': 'Очная', 'score': '240', 'free_places': '16', 'average_score': '253', 'olympic': 'no data', 'price': -111300}]"
